北海道,01,川,1,43.6155,142.8410
北海道,01,北見,2,43.8061,143.4782
北海道,01,十勝,3,42.7260,143.4453
北海道,01,室谷,4,45.3708,141.7094
北海道,01,後志,5,42.9516,140.7097
北海道,01,日高,6,42.2399,142.7531
北海道,01,根室,7,43.2724,145.4448
北海道,01,檜山,8,42.8892,140.1604
北海道,01,渡島,9,42.8073,140.7317
北海道,01,留萌,10,44.9486,141.6545
北海道,01,石狩,11,43.0801,141.3469
北海道,01,空知,12,43.4242,141.9621
北海道,01,紋別,13,44.3507,143.3025
北海道,01,網走,14,44.0277,144.2253
北海道,01,胆振,15,42.3861,140.9843
北海道,01,釧路,16,44.2406,144.6208
青森県,02,三八上北,1,40.4836,141.4238
青森県,02,下北,2,41.2976,141.2480
青森県,02,津軽,3,40.8004,140.7097
秋田県,05,内陸,1,39.3885,140.4900
秋田県,05,沿岸,2,39.7527,140.1494
岩手県,03,内陸,1,39.7864,141.1821
岩手県,03,沿岸北部,2,39.6259,141.8742
岩手県,03,沿岸南部,3,39.1759,141.6655
宮城県,04,東部,1,38.3794,140.9184
宮城県,04,西部,2,37.9821,140.8855
山形県,06,庄内,1,38.8258,139.8198
山形県,06,最上,2,38.7230,140.3362
山形県,06,村山,3,38.2673,140.3362
山形県,06,置賜,4,37.8954,140.1384
福島県,07,中通り,1,37.7479,140.5339
福島県,07,会津,2,37.4955,139.8857
福島県,07,浜通り,3,37.0146,140.7756
茨城県,08,北部,1,36.3980,140.4021
茨城県,08,南部,2,36.1234,140.1714
栃木県,09,北部,1,36.9180,139.9956
栃木県,09,南部,2,36.5835,139.8637
群馬県,10,北部,1,36.8477,139.0398
群馬県,10,南部,2,36.3891,139.1386
埼玉県,11,北部,1,36.1500,139.3474
埼玉県,11,南部,2,35.9457,139.5122
埼玉県,11,秩父,3,36.0346,139.0508
東京都,13,伊豆諸島北部,1,34.7358,139.3803
東京都,13,伊豆諸島南部,2,33.2419,139.8418
東京都,13,小笠原諸島,3,27.0714,142.2208
東京都,13,東京,4,35.6862,139.7498
千葉県,12,北東部,1,35.7765,140.6877
千葉県,12,北西部,2,35.6248,140.1494
千葉県,12,南部,3,35.1052,139.9077
神奈川県,14,東部,1,35.5142,139.5479
神奈川県,14,西部,2,35.3654,139.1716
山梨県,19,中・西部,1,35.7854,138.6003
山梨県,19,東部・富士五湖,2,35.5533,138.6772
富山県,16,東部,1,36.7157,137.2270
富山県,16,西部,2,36.7949,137.0293
石川県,17,加賀,1,36.3538,136.6667
石川県,17,能登,2,37.4868,137.0952
福井県,18,嶺北,1,36.0612,136.1504
福井県,18,嶺南,2,35.6159,136.0954
新潟県,15,上越,1,37.1395,138.2210
新潟県,15,下越,2,37.9561,139.2925
新潟県,15,中越,3,37.4367,138.8692
新潟県,15,佐渡,4,38.0427,138.2817
長野県,20,中部,1,36.1722,137.9192
長野県,20,北部,2,36.4068,138.2268
長野県,20,南部,3,35.5086,137.7818
静岡県,22,中部,1,34.9702,138.3586
静岡県,22,伊豆,2,35.1052,139.0453
静岡県,22,東部,3,35.2444,138.8530
静岡県,22,西部,4,34.7313,137.7379
愛知県,23,東部,1,34.7990,137.4248
愛知県,23,南部,2,35.1231,136.8864
岐阜県,21,美濃,1,35.4035,136.7189
岐阜県,21,飛騨,2,36.0879,137.3149
三重県,24,北中部,1,34.6636,136.4745
三重県,24,南部,2,34.0741,136.1778
滋賀県,25,北部,1,35.2803,136.2602
滋賀県,25,南部,2,35.0962,135.9361
京都府,26,北部,1,35.4102,135.3319
京都府,26,南部,2,35.0186,135.7384
大阪府,27,大阪,1,34.7629,135.5681
兵庫県,28,北部,1,35.4415,134.8842
兵庫県,28,南部,2,34.6907,135.1836
奈良県,29,北部,1,34.6771,135.8318
奈良県,29,南部,2,34.0559,135.8592
和歌山県,30,北部,1,34.2305,135.1708
和歌山県,30,南部,2,33.4477,135.7614
岡山県,33,北部,1,35.0512,134.0190
岡山県,33,南部,2,34.6907,133.8487
広島県,34,北部,1,34.8486,133.0028
広島県,34,南部,2,34.3941,132.4860
島根県,32,東部,1,35.4818,133.0467
島根県,32,西部,2,34.8847,132.1129
島根県,32,隠岐,3,36.2519,133.2994
鳥取県,31,中・西部,1,35.3520,133.4532
鳥取県,31,東部,2,35.5042,134.2332
山口県,35,中部,1,34.1853,131.4533
山口県,35,北部,2,34.4077,131.4149
山口県,35,東部,3,33.9805,132.0960
山口県,35,西部,4,34.0579,130.9699
徳島県,36,北部,1,34.0670,134.5515
徳島県,36,南部,2,33.6885,134.3812
香川県,37,香川,1,34.3215,134.0571
愛媛県,38,中予,1,33.8483,132.7552
愛媛県,38,南予,2,33.2348,132.5629
愛媛県,38,東予,3,33.9623,133.4364
高知県,39,中部,1,33.5558,133.5407
高知県,39,東部,2,33.3312,134.1505
高知県,39,西部,3,32.8064,132.8486
福岡県,40,北九州,1,33.8346,130.7612
福岡県,40,福岡,2,33.5650,130.3877
福岡県,40,筑後,3,33.3266,130.5030
福岡県,40,筑豊,4,33.6794,130.6403
大分県,44,中部,1,33.2399,131.6198
大分県,44,北部,2,33.5609,131.2298
大分県,44,南部,3,32.9499,131.8889
大分県,44,西部,4,33.2996,130.9551
長崎県,42,五島,1,32.6909,128.8166
長崎県,42,北部,2,33.2072,129.7724
長崎県,42,南部,3,32.7510,129.8878
長崎県,42,壱岐・対馬,4,34.2216,129.2670
佐賀県,41,北部,1,33.2853,129.8823
佐賀県,41,南部,2,33.2899,130.3382
熊本県,43,天草・芦北,1,32.2135,130.0526
熊本県,43,熊本,2,32.7926,130.6843
熊本県,43,球磨,3,32.2135,130.7612
熊本県,43,阿蘇,4,32.9725,130.9809
宮崎県,45,北部山沿い,1,32.6960,131.2847
宮崎県,45,北部平野部,2,32.5943,131.5923
宮崎県,45,南部山沿い,3,31.7653,131.0550
宮崎県,45,南部平野部,4,32.1568,131.4890
鹿児島県,46,大隈,1,31.3815,130.8188
鹿児島県,46,奄美,2,28.3346,129.4048
鹿児島県,46,種子島・屋久島,3,30.6100,130.9900
鹿児島県,46,薩摩,4,31.5830,130.5387
沖縄県,47,与那国島,1,24.4471,122.9888
沖縄県,47,久米島,2,26.3784,126.7571
沖縄県,47,大東島,3,25.8444,131.2560
沖縄県,47,宮古島,4,24.7830,125.3069
沖縄県,47,本島中南部,5,26.2602,127.7074
沖縄県,47,本島北部,6,26.5849,128.0040
沖縄県,47,石垣島,7,24.3984,124.1698
